date,ABBV,ABT,ADBE,AEP,AMD,AMGN,AMT,BA,CAT,CCI,CMCSA,COP,CVX,D,DD,DIS,DOW,DUK,EA,GE,GILD,GS,INTC,KO,MMM,MRK,MS,NEE,NEM,NKE,NUE,NVDA,O,OXY,PLD,PSA,QCOM,SBUX,SHW,SLB,SO,T,TMUS,TTWO,UPS,USB,V,WFC,WMT,XOM,ADA-USD,BCH-USD,BTC-USD,EOS-USD,ETC-USD,ETH-USD,LTC-USD,TRX-USD,XLM-USD,XRP-USD
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021130874739584304,-0.04255909697935789,-0.029819292162590716,-0.051923988008735766,-0.05483351281298321,-0.025930970201487602,-0.0522328674979865,-0.02867925313411135,-0.02946029149242746,-0.02400000494985799
2020-01-03,-0.009492394400985482,-0.012190655698628317,-0.0078342109696109,-0.0010698715876580334,-0.010183299705468052,-0.00678885088523562,0.0004812819873747376,-0.001680016725565392,-0.013883805041347008,0.005505469886244452,-0.00793493585761329,0.003666369510954448,-0.003458734238983907,-0.00244029953937952,-0.0211024518120545,-0.011470891218493096,-0.02474425463123453,0.0006641496822574755,-0.0013043426355543453,0.0033529843397042125,-0.0024528704137986024,-0.011693107490631571,-0.012163053755730457,-0.005455622479253686,-0.008611287266423129,-0.008583168667211871,-0.016141319072802918,0.007124222159773597,-0.009023546797987891,-0.0027395465503864402,-0.013243392427117029,-0.01600591028787468,0.0180740458926254,0.024189807315003087,0.011199008230169394,0.010784359391997844,-0.018830226624348634,-0.005820023118949025,-0.012940303739546688,0.009708880685367571,-0.0009579231065741656,0.0051465565036430405,-0.005344169207255223,0.0010648529772949722,-0.000599276658956871,-0.011655474527395904,-0.00795295940439289,-0.006139793058668408,-0.008828055014961311,-0.008039555185007652,0.0436322232876416,0.13650798527067698,0.05145166344511276,0.07118483634422224,0.07527200376818821,0.053068978168561154,0.06510205027815874,0.043900535325963164,0.025435206239219355,0.029131606757621054
2020-01-06,0.007892082745382334,0.005238875629340223,0.0057261502379801765,0.0033202672429795133,-0.004320968951973869,0.007673888025701903,-0.0002623692610840278,0.002944999944185067,-0.0006739669815821747,-0.008423382697903326,-0.007553587546047069,0.0118723933726963,-0.0033883718460187007,0.007705416962432432,-0.007078394927945153,-0.005802053021024878,-0.004006094057774301,0.004867343789972889,0.01473912958025525,0.014202134530487243,0.008913388868128314,0.010234137083684036,-0.0028284777367112435,-0.0003658946660679563,0.0009529661223472985,0.004273872855298011,-0.003515568014501258,0.00499349588553244,0.010039631865239373,-0.0008828874375387263,-0.008457726904050111,0.004193285039781669,0.005013893124298896,0.03301996035596444,-0.003915424474856488,0.0035564635861757843,-0.005860553741097729,-0.007879980295331657,-0.001842337825709639,0.006409765575919879,0.003995902463763468,0.0010240814174522495,0.005756630984889766,0.02029296600533792,-0.004455197089355711,-0.01367273097069277,-0.002162432507242129,-0.005990218071768694,-0.002035483138514982,0.007678222240428578,0.07347140616116543,0.09130296825836703,0.04829126010697582,0.05728237009487391,0.028162827504393917,0.05890493095145177,0.051962773398619655,0.06789986180220464,0.08300443398157231,0.13282904035019572
2020-01-07,-0.005704482064444516,-0.0055594283445495885,-0.0009588469474510752,0.00021351513911560538,-0.0028931471670650133,-0.00940470159138962,-0.021308416680396403,0.010607092373679627,-0.013212482801549075,-0.016918996427288446,0.010571088536621698,0.0,-0.012769645694628573,-0.0021848626430657214,-0.015392165861341622,0.000343137633362689,-0.0003829581136434168,-0.006274747509371292,-0.003585440902775683,-0.007413420991833064,-0.00807301484875056,0.006582380461150228,-0.01668634253914003,-0.007682293261197404,-0.00403118219451204,-0.026625902907383314,-0.00196024763195346,-0.0008696443153264344,-0.0006936882810589795,-0.0004912472607087048,-0.0022248992044417992,0.012106801635321629,0.00026995752736436174,0.004883447457122658,-0.006401697955574326,-0.003963616531372227,0.028436384505488688,-0.003064066601403792,-0.005413562917287784,-0.005144112091814423,-0.003024973362151684,0.003836250427441179,0.0038157202560131775,0.0065763066706936435,-0.0017210601407166015,-0.00953035112625722,-0.0026429081233071416,-0.008286291836312354,-0.00926480693235654,-0.00818437471979716,-0.00603670558471725,-0.005310438732011091,0.050773846435889336,-0.0010310039893811629,-0.04191777748862058,-0.005267778753292318,0.013275403934662977,-0.01202915651673575,0.014534653792710905,-0.03427832256686114
2020-01-08,0.007087095540577515,0.00407680576977465,0.013437656414137633,-0.002988471310849672,-0.008704625263115329,0.0007562117787240918,0.008673203217364422,-0.01752258018477737,0.008880720201219106,0.004176583880829199,0.010237994005424245,-0.02316466683479046,-0.011422387162004832,-0.006325153956555418,0.012012425660867798,-0.0020588699379905373,0.01034643860661677,0.0014400157362544075,0.010148775155704337,-0.009128586851852694,0.010442271392539615,0.00963942998350964,0.0006789620540055274,0.0018431199861237424,0.015345553803311596,-0.006726468906296912,0.012765354282001207,-0.0004559528022650694,-0.026601639474475802,-0.002259692561642379,-0.0024160950874252407,0.0018753528728627789,0.004583655772697259,-0.006406153545643556,0.00542558281449268,0.001825687635088613,-0.0029225468682997358,0.011609712120951965,0.015918624251863855,-0.02954945090532568,-0.0003193597321249353,0.0030573723966424993,0.006335561980886251,0.018404888210315162,0.005689479566150846,-0.0020993823501851416,0.01711806123287518,0.0030385059427275873,-0.0034315738258187123,-0.015079874191943232,-0.016519506616973323,-0.009057350907080597,-0.010268587535248286,-0.02245115661891761,0.028709468546097572,-0.015924443349786155,-0.016603634237381537,-0.021150735788906916,-0.022492866425489755,-0.02286404582644963
2020-01-09,0.007708137316430053,0.0026674298319477874,0.007636123737323475,0.005031365693130452,0.023834399874688383,0.002980273073275308,0.0037674168164407718,0.014998364848977763,-0.0025057942892998675,0.005736750571330829,0.0026439855235886878,0.01740058564183755,-0.0016143309008019857,0.0028155987426659035,-0.008942969129010936,-0.003920320929886367,-0.01024048604643546,0.0024336718949864444,-0.00118739689170122,-0.00251266463764932,0.0006079422844442739,0.020356833075627856,0.005595949643053322,0.01821549331263217,0.0031561117654628212,0.008803626900796724,0.009501724616958862,0.007835994048031925,-0.009981037536995752,-0.000689394402504595,-0.0033531319013123673,0.010982960304123157,-0.017042681831490825,0.008670643572338266,0.00011258888703791214,0.0004207517158505425,0.01352729870800018,0.018563978674949633,-0.00641166582979924,0.011418537663260064,0.010543096694562326,0.003062683858234161,0.0049106106921605885,0.0015647361767661128,0.002314389760947222,0.00035057482982980837,0.006929872841968443,-0.0017039873576780717,0.010330385484892401,0.007655453037348714,-0.002085896696326528,-0.0076024533803610295,-0.024850855645838776,-0.00921671629982912,0.04809190671456576,-0.016133093484380745,-0.009590352026982885,-0.0004265058808561317,-0.046369874064892236,-0.019743935785550337
2020-01-10,-0.012748443611661053,-0.012494020551439111,-0.0018799078439988293,0.004899965977432474,-0.01633659448265634,-0.0028043253774963084,0.019119514598485488,-0.01908779879963529,-0.008009883845489063,0.01532958416190966,-0.011646237489717604,-0.009838166799004844,-0.009105313010535965,0.0018308869856642485,-0.020344483084390075,-0.0014499849027304057,-0.013220872452384236,-0.0019862926560344496,-0.007041050159925177,-0.020151091999691118,-0.012302433193611129,-0.0020197075470502757,-0.006070707630554839,0.003433169377087042,-0.004028759114673597,0.0016781216806587285,0.002881184071690912,0.0018923404550035272,0.014642146504984854,-0.005715474403165999,-0.013644886304940873,0.005349141409485281,0.006689835723240334,0.011681704403511572,0.005395697220816897,0.008080599744242356,0.0038926071989442423,-0.004086589226057424,0.0025810103782486493,-0.0007526194825228094,0.006323039113133699,-0.005927738830630469,-0.010149091521957865,-0.009842228512575657,-0.009065117174479331,-0.006834950681714802,0.0026908655413449,-0.004361877629850186,-0.008350429996435427,-0.008887659688636473,0.014164278955681064,0.131687678793047,0.03648690303834745,0.07392384808679897,0.02363001305211232,0.03586560638444225,0.07765843238279313,0.03918084671481803,-0.0012053589398871578,0.036149492030821406
2020-01-13,-0.006062836771531632,-0.0028115769111406452,0.017127239828237162,0.0030740838944884885,0.012040727695701081,-0.005624032698965942,0.01997390702765789,0.0009092873297715798,0.004721901077194168,0.006250096972346908,0.018230876609453883,-0.004432928756486376,0.0018891210709335304,-0.00024364748042382534,0.011556001330508936,-0.0051166586066973,0.016504858680220336,0.008845573503396098,0.011327031174819702,0.038560490645748624,-0.011072010877650196,0.012804134333550099,0.011028251015096746,0.010804975227546754,0.002493359148891372,-0.00022335294879205492,0.010917331041029099,0.011702037891028638,0.004258530915938419,0.012487791898607714,0.011370095580102824,0.0313526716262702,0.016543994162637965,0.014596967552878315,0.02638652201732805,0.0044480241251261265,0.00786620890979628,0.010203988772373496,0.013701663054752178,-0.015064061555135733,0.013823649398607696,-0.012185660372504237,0.005063357101293242,0.013332240324479105,0.0075948004887120835,0.0007059037210392916,0.008050602656733519,-0.007428410195595592,-0.004296316954573887,0.009545776231915548,-0.01920931328536024,-0.0026626946961815223,-0.005895616628883604,-0.025528876140535672,-0.012088149030781592,-0.01129289411687917,-0.026369423298247985,-0.01802888965531735,-0.0040770876570762615,-0.01398677316648056
2020-01-14,0.009846198994403865,0.01156222461055445,-0.0028932673259634,0.0036986085273356117,-0.011076941856971168,0.01300031611280894,-0.006202086880377156,0.006450242408184703,-0.0009538230010981419,-0.009351536965228724,0.005021597915837894,0.00015366281801165727,-0.0030859590214462607,-0.0012190273791158335,-0.0038083664144943352,0.00917418146786253,-0.0021011565253958864,0.0006578144490223536,-0.0021853267624390993,-0.007425848316560013,-0.001710538676774731,0.00183495890906471,-0.0026851870062204464,-0.0023159845212772368,0.0024872847837562606,0.004691895047018502,0.001515711034798306,0.005397596525981152,0.008951762498245364,0.007438974572848256,0.011804532479508634,-0.01865236790342073,0.0,0.014386961542064203,-0.01274524019251877,-0.002168094157127265,-0.004506715318380761,-0.0009881133863258729,-0.0006784394491736734,0.007646945967048291,0.005887625052968248,-0.00026248502919690164,0.005037748194782532,-0.011833372356395477,0.004453795392247661,-0.0021161292957552202,0.0036864227116046866,-0.05392448468619626,0.0025887834918605357,-0.008595983506050953,0.1269815483949639,0.30928460580585315,0.08393344808628167,0.23159871852441127,0.23884372725592984,0.15065709666300386,0.17582550336497071,0.13695096788583627,0.08297661858181482,0.10380170004033373
2020-01-15,0.012017940352877066,0.019127359909837827,-0.00490381689772168,0.017055987309957166,0.007052482037847474,0.007083174247110691,0.00611248478745452,-0.007672616553080935,-0.00756721392341797,0.014793807631613198,0.005431327091528937,-0.0021493199854549783,-0.001461922271408178,0.012690939232683496,0.01612125506003248,-0.006060520662229951,0.0005741071424849586,0.013033669593604857,0.0002737013338043326,-0.013300055571390579,-0.0015577339134307255,-0.0018315980019930622,-0.008244907457637507,0.012499894877110007,-0.00876688415950333,0.017903247922568255,0.0015135052799915005,0.0155411583488263,0.016110000334760954,-0.001262981905666205,-0.01055572427616669,-0.006915637691051524,0.013607378539865378,0.0004231332616144723,0.01743344043561157,0.008968786855741318,-0.00982808267187918,0.006044691076648734,0.01756399449955004,-0.030356554982169937,0.010166401731558361,-0.005775881509607839,0.005889785862414509,-0.0025210721977062533,0.005627950198741072,-0.028626871295911127,0.019127692550550357,-0.0198782613029157,-0.007746404604172863,-0.0015895833643981838,0.02143544217613469,-0.031028622684423857,-0.002350980919464507,-0.01600299795972182,0.17127795031403847,0.0016590582058744197,-0.007274236877677698,0.03373203444289197,0.05130957372786504,-0.007635696651681734
